DSI Project,description,tech,tags,url,open democracy,new ways of making,awareness networks for sustainable change,collaborative economy,open access,social innovation
OpenDataCommunities,Linked Open Data for the UK Department of Communities and Local Government. ,open-data,work-and-employment health-and-wellbeing education-and-skills finance-and-economy neighbourhood-regeneration,http://data.digitalsocial.eu/id/activity/7795ec63-2cec-dc77-f953-e176368bf0ff,1,,,,1,
Make Things Do Stuff,Make Things Do Stuff is a platform that gives young people the tools and support to make and share digital things. It has been created by a group of like-minded organisations that want to inspire young people to be creators. not just consumers of digital technologies.,open-hardware,education-and-skills science culture-and-arts,http://data.digitalsocial.eu/id/activity/c9b9fb26-dccb-1bfb-669b-bf379d3856b5,,1,,,,
Ouishare.net Magazine,OuiShare.net is a collaborative magazine that lives from the articles contributed by the community. Our main focus is the collaborative economy and its impacts on the traditional systems. ,open-knowledge,participation-and-democracy education-and-skills finance-and-economy,http://data.digitalsocial.eu/id/activity/fb46a2fd-790b-f4e4-8c40-52c287f8ac57,,,,1,,
Digital Social Innovation ,Digital Social Innovation (DSI) is a research on digital social innovation (DSI) in Europe. The research is commissioned by the European Commission. DG Connect and run by Nesta. in partnership with the Waag Society. ESADE. IRI and Future Everything. The study looks at grassroots civic innovations that use mass collaboration to tackle societal challenges. ,open-networks,participation-and-democracy education-and-skills,http://data.digitalsocial.eu/id/activity/8c4c3d02-b106-8148-b2e7-2179948ec4e4,1,1,1,1,1,
D-CENT,A EU project to build a suite of de-centralised. open-source software  for democratic decision-making and digital currencies that can help grass roots communities and large scale citizens groups  to mobilise actions and share resources.,open-networks,participation-and-democracy finance-and-economy,http://data.digitalsocial.eu/id/activity/83764401-e433-8bb4-2e58-55c98d884e08,1,,,1,1,
DataGM - The Greater Manchester Datastore,DataGM is a collaborative open data project between FutureEverything and Trafford MBC.,open-data,health-and-wellbeing participation-and-democracy finance-and-economy energy-and-environment neighbourhood-regeneration,http://data.digitalsocial.eu/id/activity/dc70c0e2-c378-fd11-f6d3-86fecedf4a6b,,,,,1,
Contributive technologies,Design. development and experimentation of contributive technologies : multimedia annotation. alternative social networks. reading practicies. publishing (mashups. hypervideos. mind maps. ...). alternative MOOCs. ...,open-networks,education-and-skills science culture-and-arts,http://data.digitalsocial.eu/id/activity/3eefa2eb-d5ed-bc70-2a06-72264e6fff43,,,,1,,
Digital studies,Digital studies are targetting scientific contexts where digital organology (instruments) has a strong epistemic impact on the discipline including collaborative research. contributive publishing. impact on categorization.,open-knowledge,education-and-skills science,http://data.digitalsocial.eu/id/activity/6a42c48d-0156-0424-cbbc-4e49a7d33923,1,1,1,1,1,
Makerspace and Fablab,A community makerspace where you can make things and connect with people in Milan. ,open-knowledge,work-and-employment education-and-skills technology design,http://data.digitalsocial.eu/id/activity/fe595122-5cf4-e5e5-2e24-13786ca91a39,,1,,,,
Unlike Us. network for alternatives in social media,The aim of Unlike Us is to establish a research network of artists. designers. scholars. activists and programmers who work on 'alternatives in social media'. Through workshops. conferences. online dialogues and publications. Unlike Us intends to both analyze the economic and cultural aspects of dominant social media platforms and to propagate the further development and proliferation of alternative. decentralized social media software. Whether or not we are in the midst of internet bubble 2.0. we can all agree that social media dominate internet and mobile use. The emergence of web-based user to user services. driven by an explosion of informal dialogues. continuous uploads and user generated content have greatly empowered the rise of participatory culture. At the same time. monopoly power. commercialization and commodification are also on the rise with just a handful of social media platforms dominating the social web. These two contradictory processes - both the facilitation of free exchanges and the commercial exploitation of social relationships - seem to lie at the heart of contemporary capitalism. On the one hand new media create and expand the social spaces through which we interact. play and even politicize ourselves; on the other hand they are literally owned by three or four companies that have phenomenal power to shape such interaction. Whereas the hegemonic Internet ideology promises open. decentralized systems. why do we. time and again. find ourselves locked into closed corporate environments? Why are individual users so easily charmed by these 'walled gardens'? Do we understand the long-term costs that society will pay for the ease of use and simple interfaces of their beloved 'free' services? The accelerated growth and scope of Facebook's social space. for example. is unheard of. Facebook claims to have 700 million users. ranks in the top two or three first destination sites on the Web worldwide and is valued at 50 billion US dollars. Its users willingly deposit a myriad of snippets of their social life and relationships on a site that invests in an accelerated play of sharing and exchanging information. We all befriend. rank. recommend. create circles. upload photos. videos and update our status. A myriad of (mobile) applications orchestrate this offer of private moments in a virtual public. seamlessly embedding the online world in users' everyday life. Yet despite its massive user base. the phenomena of online social networking remains fragile. Just think of the fate of the majority of social networking sites. Who has ever heard of Friendster? The death of Myspace has been looming on the horizon for quite some time. The disappearance of Twitter and Facebook - and Google. for that matter - is only a masterpiece of software away. This means that the protocological future is not stationary but allows space for us to carve out a variety of techno-political interventions. Unlike Us is developed in the spirit of RSS-inventor and uberblogger Dave Winer whose recent Blork project is presented as an alternative for 'corporate blogging silos'. But instead of repeating the entrepreneurial-start-up-transforming-into-corporate-behemoth formula. isn't it time to reinvent the internet as a truly independent public infrastructure that can effectively defend itself against corporate domination and state control? There are 800 members on a email list and 200-250 people attending events.,open-networks,participation-and-democracy culture-and-arts,http://data.digitalsocial.eu/id/activity/6900e69e-7551-396b-7fd2-6cb77a87f499,1,,,1,1,
CitySDK,EC ICT-PSP project to create lightweight common interfaces on the back of city data systems that will enable individuals and organisation to create and use services across cities within the EU,open-data,participation-and-democracy culture-and-arts finance-and-economy,http://data.digitalsocial.eu/id/activity/f23fe13a-3e8a-a6a6-b393-97d5be80b67f,,,,,1,
Apps4Europe,Through targeted Business Lounges. Apps4Europe seeks to create viable businesses out of the best open data ideas,open-data,work-and-employment health-and-wellbeing participation-and-democracy education-and-skills science culture-and-arts finance-and-economy energy-and-environment neighbourhood-regeneration,http://data.digitalsocial.eu/id/activity/c7994fda-7310-03e7-c228-bb2557fc0ba4,,,,,1,
InfoTrafford,InfoTrafford is a web-based tool designed to make data and information available to people. organisations and businesses in Trafford. A huge range of data is available from all of Trafford's partners. in a range of formats - maps. profiles and data. ready to turn into intelligence.,open-data,work-and-employment health-and-wellbeing participation-and-democracy education-and-skills culture-and-arts finance-and-economy energy-and-environment neighbourhood-regeneration,http://data.digitalsocial.eu/id/activity/75b46adb-40a3-7406-bae9-b14bafd499eb,,,,,1,
Research and innovation on Internet platforms,Coordinating projects. namely in the context of EU-funded programmes. aiming at exploring the potential of Internet platforms for sustainability and social innovation. with a particular focus on collective intelligence,,,http://data.digitalsocial.eu/id/activity/312119f0-16b4-a2ad-6e7e-51f8b1a8599a,1,1,1,1,1,
Civic Exchange,Civic Exchange is a platform for improving public services by showcasing and promoting the reuse of civic software. This includes online tools that support public service delivery. apps/services built on government APIs. or initiatives piloted with a local authority and created by others.The platform is run by Nesta in collaboration with our Code for Europe partners.By capturing applications and information about why. how and where they’ve been deployed. and what impact they’ve had. we want to encourage greater collaboration and reuse of digital civic solutions.The site is for those who want to search for solutions to their own civic challenges. and those who have apps and services they would like to share. We fully support open innovation – such as releasing software as open source. open APIs or using and/or providing open data – but also believe it’s important to showcase proprietary software if it has created a positive impact on local services.,open-networks,local-government cities,http://data.digitalsocial.eu/id/activity/bd33e3c4-ca65-ea9c-fa14-448130039f0c,1,,,,1,
Catalyst Sprint and Launchpad projects,We have several research projects on the go:'On Supply' is our current Sprint Project: challenging  us to think differently about the expectation that we should use energy whenever we demand it,open-networks,work-and-employment health-and-wellbeing participation-and-democracy education-and-skills science culture-and-arts finance-and-economy energy-and-environment neighbourhood-regeneration,http://data.digitalsocial.eu/id/activity/4ce3b060-24d2-de83-64a6-33e091d1c71f,,,1,,,
